Artifact,Score
Moonlit whispers; empty swing sways alone.,83.33333333333333
Her photograph faded; memories danced alone.,83.33333333333333
Moonlight kissed gravestone; memories whispered softly.,91.66666666666667
"Eclipsed sun, forgotten vows, shadowed hearts.",83.33333333333333
"""Letter unopened; her perfume still lingers.""",91.66666666666667
Her shadow lingered; he danced alone.,83.33333333333333
"""Silent snowfall blankets forgotten wedding vows.""",83.33333333333333
Sunset whispered secrets; dawn stole them.,83.33333333333333
Moonlit beach proposal; tides whispered goodbye.,83.33333333333333
Eternity whispered; stars wept love's end.,83.33333333333333
