Artifact,Score
Lost keys found; wrong house entered.,75.0
Lighthouse abandoned; waves whisper forgotten secrets.,83.33333333333333
Shadows stretched; sunrise revealed hidden secrets.,75.0
"Abandoned kite, tangled dreams in trees.",75.0
"Lost map, empty compass, endless journey.",83.33333333333333
"Lost map, found destiny in chaos.",75.0
Abandoned suitcase whispered secrets of adventures.,75.0
Forgotten dreams whispered through closed windows.,83.33333333333333
Lighthouse stood; waves claimed the village.,83.33333333333333
Sunset whispers secrets only night understands.,75.0
